Country,Year,Population,AUD_in_number,Death_due_to_AUD_deaths_by_population,Death_per_annum,Alcohol_consumption_per_person_in_liter,Death_due_to_alcohol,Beer_consumption_per_capita_in_liter,Wine_Consuption_per_capita_in_liter,Spirit_Consuption_per_capita_in_liter,,,,
Afghanistan,2000,20779957,89354,166,430,,15,0.30,0.20,0.00,,,,
Albania,2000,3129246,54136,15,511,6.57,15,1.33,0.42,2.08,,,,
Algeria,2000,31042238,136586,124,625,0.58,89,0.12,0.13,0.15,,,,
Andorra,2000,65390,1471,1,30,13.28,1,3.04,0.25,2.99,,,,
Angola,2000,16395476,195106,293,5664,2.76,125,0.90,0.16,0.18,,,,
Antigua and Barbuda,2000,76007,1513,5,15,5.13,4,1.78,0.13,3.84,,,,
Argentina,2000,36870796,943892,1003,17673,8.75,999,1.79,0.13,0.52,,,,
Armenia,2000,3069597,78582,93,481,4.23,99,0.18,0.23,2.52,,,,
Australia,2000,18991434,376030,342,6162,11.72,412,5.07,0.17,2.07,,,,
Austria,2000,8069276,249341,226,4835,13.12,307,6.85,0.50,2.16,,,,
Azerbaijan,2000,8122743,209567,262,2722,3.45,242,0.17,0.13,0.43,,,,
Bahamas,2000,298045,5782,13,102,5.58,12,4.04,0.13,6.29,,,,
Bahrain,2000,664610,3655,4,51,1.74,3,0.54,1.00,1.30,,,,
Bangladesh,2000,127657862,1455300,396,6755,0.23,245,0.15,0.50,0.00,,,,
Barbados,2000,271511,3828,5,69,7.11,6,2.73,0.90,3.99,,,,
Belarus,2000,9871635,302072,2196,10897,15.17,2705,1.19,0.14,5.03,,,,
Belgium,2000,10282046,286869,253,6905,12.49,348,6.15,0.18,1.00,,,,
Belize,2000,247310,3907,8,62,5.55,5,2.76,0.13,1.77,,,,
Benin,2000,6865946,38449,96,1139,2.46,41,0.54,0.13,0.31,,,,
Bhutan,2000,591014,14007,7,138,2.77,5,1.66,1.40,0.00,,,,
Bolivia,2000,8418270,97652,448,2144,3.44,287,1.67,0.13,0.56,,,,
Bosnia and Herzegovina,2000,3751176,91904,176,1195,6.37,242,2.64,1.20,0.87,,,,
Botswana,2000,1643333,35496,40,1124,9.05,23,2.31,1.60,0.54,,,,
Brazil,2000,174790339,5663207,7551,61444,8.78,6709,3.34,0.20,3.62,,,,
Brunei,2000,333166,3198,1,10,0.23,1,0.19,0.02,0.15,,,,
Bulgaria,2000,7997951,163158,154,7405,11.8,201,3.50,1.06,4.65,,,,
Burkina Faso,2000,11607951,62683,181,4444,8.4,85,0.40,1.07,0.29,,,,
Burundi,2000,6378871,97597,124,5514,9.82,54,1.53,1.12,0.00,,,,
Cambodia,2000,12155241,88733,188,3902,1.87,121,0.34,0.13,0.26,,,,
Cameroon,2000,15513944,89981,239,5364,6.69,106,2.14,0.24,0.00,,,,
Canada,2000,30588379,59473,700,8123,,896,4.20,0.14,2.00,,,,
Cape Verde,2000,428178,2227,4,133,6.03,2,2.09,1.50,0.45,,,,
Central African Republic,2000,3640421,45141,88,1862,3.68,44,0.41,0.16,0.02,,,,
Chad,2000,8355654,40943,124,1471,4.34,54,0.17,0.13,0.00,,,,
Chile,2000,15342350,501695,529,6286,7.74,508,1.80,0.13,1.98,,,,
China,2000,1290550767,1639995,12002,395117,3.81,12527,0.92,0.13,1.96,,,,
Colombia,2000,39629965,903563,103,8783,5.58,84,2.80,0.45,1.65,,,,
