,State,Lifetime pay$,Consumptionper statesKG,Daily cupper capitaCUP,Total cup ina life timeCUP,Coffee priceby states$
0,Hawaii,266933.0,15114851.0,2.7,57159.0,4.67
1,Alaska,260349.0,7302379.0,2.6,55042.0,4.73
2,Washington,216188.0,69667921.0,2.3,48691.0,4.44
3,Oregon,197199.0,38149563.0,2.3,48691.0,4.05
4,Rhode Island,166523.0,8188330.0,1.9,40223.0,4.14
5,New Hampshire,162268.0,11624744.0,2.1,44457.0,3.65
6,Massachusetts,156997.0,48163487.0,1.8,38106.0,4.12
7,Montana,153948.0,7785625.0,1.8,38106.0,4.04
8,Vermont,153271.0,5047233.0,2.0,42340.0,3.62
9,Maine,149037.0,10550864.0,2.0,42340.0,3.52
10,New Jersey,148613.0,63734738.0,1.8,38106.0,3.9
11,California,146327.0,245381424.0,1.6,33872.0,4.32
12,Wyoming,138558.0,3785425.0,1.7,35989.0,3.85
13,Colorado,135594.0,35062160.0,1.5,31755.0,4.27
14,Connecticut,134959.0,20886953.0,1.5,31755.0,4.25
15,Idaho,128629.0,10524017.0,1.4,29638.0,4.34
16,Utah,119145.0,16215578.0,1.2,25404.0,4.69
17,New York,115588.0,106152971.0,1.4,29638.0,3.9
18,Nevada,107353.0,14175207.0,1.1,23287.0,4.61
19,New Mexico,102124.0,9852843.0,1.2,25404.0,4.02
20,Michigan,101362.0,47062761.0,1.2,25404.0,3.99
21,Arizona,100134.0,30874030.0,1.1,23287.0,4.3
22,Delaware,98822.0,4671375.0,1.2,25404.0,3.89
23,Illinois,97805.0,56486052.0,1.2,25404.0,3.85
24,Pennsylvania,95265.0,61425897.0,1.2,25404.0,3.75
25,Wisconsin,94503.0,27330229.0,1.2,25404.0,3.72
26,Maryland,93148.0,26820136.0,1.1,23287.0,4.0
27,Minnesota,92449.0,24779765.0,1.1,23287.0,3.97
28,Florida,90819.0,92917408.0,1.1,23287.0,3.9
29,Kansas,89655.0,12671776.0,1.1,23287.0,3.85
30,North Dakota,89189.0,3382720.0,1.1,23287.0,3.83
31,Virginia,89126.0,35357477.0,1.0,21170.0,4.21
32,South Dakota,89126.0,3382720.0,1.0,21170.0,4.21
33,Iowa,85463.0,13772502.0,1.1,23287.0,3.67
34,Nebraska,84468.0,7490308.0,1.0,21170.0,3.99
35,Ohio,84299.0,47948712.0,1.1,23287.0,3.62
36,Oklahoma,82563.0,15598097.0,1.0,21170.0,3.9
37,Indiana,81505.0,25799951.0,1.0,21170.0,3.85
38,Missouri,80869.0,25101929.0,1.0,21170.0,3.82
39,Texas,76593.0,103709895.0,0.9,19053.0,4.02
40,Arkansas,75450.0,10389782.0,0.9,19053.0,3.96
41,Tennessee,73926.0,24967694.0,0.9,19053.0,3.88
42,Louisiana,72211.0,15544403.0,0.9,19053.0,3.79
43,North Carolina,71258.0,39303983.0,0.9,19053.0,3.74
44,Georgia,70284.0,33478188.0,0.8,16936.0,4.15
45,Alabama,69099.0,15222239.0,0.8,16936.0,4.08
46,West Virginia,68591.0,6094265.0,0.9,19053.0,3.6
47,South Carolina,63679.0,17450539.0,0.8,16936.0,3.76
48,Kentucky,63002.0,14202054.0,0.8,16936.0,3.72
49,Mississippi,61054.0,8456800.0,0.7,14819.0,4.12
